267,397,404,397,404,429,267,429,0.9992465
434,370,575,368,575,395,433,396,0.9987764
144,249,181,248,184,280,147,282,0.99839884
488,116,539,110,545,136,494,143,0.99666315
181,246,210,243,214,276,185,278,0.9872594
64,366,115,367,114,396,63,395,0.9850397
528,150,555,148,557,163,530,165,0.97997415
153,366,333,366,332,394,152,394,0.9778626
409,397,465,399,464,429,408,427,0.9777754
496,152,526,149,529,165,498,168,0.97749853
173,398,262,402,260,431,171,427,0.97567517
470,155,496,153,497,169,472,170,0.947916
375,370,429,371,428,395,374,394,0.9022401
333,367,370,365,371,393,334,395,0.6711802
119,372,177,372,177,394,119,394,0.30641037
33,206,109,188,125,268,47,285,0.18427937
622,167,638,165,639,183,625,184,0.14587013
